gender,PhoneService,MultipleLines,InternetService,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,2,0,1,1,1,24.1,1734.7,0
1,1,0,2,2,0,1,88.2,3973.2,0
1,1,2,2,0,0,0,75.0,2869.9,1
0,1,0,1,0,2,2,55.9,238.5,0
0,1,0,1,0,0,2,53.5,119.5,0
1,0,1,1,0,2,0,49.9,3370.2,0
1,1,2,2,0,2,2,90.7,2989.6,0
1,0,1,1,0,0,3,24.9,24.9,0
0,0,1,1,0,0,3,35.6,1309.2,0
0,1,2,2,2,2,2,116.5,6382.6,0
0,1,0,1,2,0,2,68.8,3482.9,0
1,0,1,1,2,2,1,51.2,1561.5,1
0,1,2,2,2,2,2,99.0,6017.9,0
0,1,2,1,0,0,0,54.9,2614.1,0
1,1,2,2,2,2,0,109.6,3608.0,0
0,1,2,2,2,2,0,106.8,5498.8,0
0,1,0,2,0,0,3,74.3,74.3,0
1,1,2,0,1,1,0,25.6,1673.4,0
1,1,2,2,2,2,2,94.2,4186.3,1
0,0,1,1,2,2,2,46.4,667.7,1
0,1,2,0,1,1,1,25.6,1334.5,0
0,1,2,2,2,2,0,107.6,6912.7,0
1,1,0,0,1,1,0,19.6,1463.5,0
0,1,0,2,2,2,2,96.2,3183.4,1
1,1,0,2,0,0,2,69.7,69.7,1
1,1,2,2,0,0,0,78.5,5602.3,0
1,1,0,1,0,0,3,45.1,45.1,1
1,1,2,0,1,1,3,25.8,25.8,0
0,1,2,2,2,2,3,104.1,541.9,1
0,1,2,2,2,2,0,104.8,6536.5,0
0,1,0,1,2,2,1,81.4,5398.6,0
1,1,2,2,2,0,1,96.4,3915.4,0
0,1,2,2,0,2,2,93.6,6069.3,0
1,1,0,0,1,1,3,19.7,301.6,0
1,1,2,1,0,2,1,69.1,3255.4,0
0,0,1,1,0,0,2,35.7,425.1,0
1,1,0,2,2,2,2,99.4,5025.0,0
1,0,1,1,2,2,2,54.4,3723.7,0
1,1,0,0,1,1,3,19.3,185.2,0
1,1,0,2,2,0,0,83.8,163.7,0
1,1,0,2,0,0,2,69.0,351.5,0
0,1,0,1,0,0,1,62.9,3419.5,0
0,1,2,2,2,2,2,110.5,6077.8,0
1,1,0,1,0,0,3,45.3,197.0,1
0,1,2,2,0,0,2,75.7,1146.7,1
0,1,0,0,1,1,3,19.9,193.1,0
1,1,0,1,0,2,2,55.3,196.2,1
1,1,2,0,1,1,0,24.8,1836.9,0
0,1,0,1,0,0,3,54.8,445.9,0
0,1,2,2,2,2,2,94.0,94.0,1
1,1,2,2,2,2,0,110.3,6997.3,0
0,1,0,0,1,1,1,18.8,1094.4,0
1,1,2,2,2,2,2,100.8,100.8,1
1,1,0,1,0,2,2,60.0,1259.4,0
1,1,2,1,0,2,2,66.1,1652.4,0
1,1,0,2,0,2,0,79.8,159.4,1
0,1,0,2,0,2,3,94.8,3131.6,0
1,1,2,0,1,1,3,25.5,134.8,0
1,1,2,2,2,2,3,111.2,7737.6,0
0,1,0,1,0,0,2,55.3,1715.7,1
1,1,0,1,2,0,3,59.5,416.0,1
0,0,1,1,0,0,3,25.4,25.4,0
0,1,2,2,2,2,2,98.6,1842.8,1
0,1,0,1,0,0,3,61.2,2021.2,0
0,1,0,1,2,0,3,60.9,414.1,0
1,1,2,1,2,0,3,74.6,5430.7,0
1,1,0,0,1,1,2,19.7,244.8,0
1,1,2,1,0,0,3,48.8,179.9,0
0,1,0,0,1,1,3,19.2,1177.1,0
0,1,0,1,2,2,3,84.7,5878.9,0
1,0,1,1,0,0,3,34.3,139.4,1
1,1,2,2,0,0,1,80.7,5676.0,0
0,1,0,0,1,1,1,19.5,340.9,0
1,1,0,0,1,1,3,19.7,599.3,0
1,1,0,2,0,0,0,83.2,2032.3,0
0,1,0,0,1,1,1,19.9,183.2,0
0,1,0,0,1,1,3,19.2,638.0,0
1,1,0,1,2,0,2,54.9,355.1,0
1,1,2,2,0,0,3,75.1,75.1,1
1,1,2,0,1,1,0,25.1,1857.9,0
0,1,0,1,2,2,3,84.4,3858.1,0
0,1,0,2,2,0,2,89.8,608.8,1
0,0,1,1,0,2,0,48.4,3442.8,0
0,1,0,0,1,1,1,19.9,1110.1,0
0,1,2,1,0,0,1,51.8,201.1,1
